Date,Open,High,Low,Close,Adj Close,Volume
2009-06-26,8438.3896484375,8438.3896484375,8438.3896484375,8438.3896484375,8438.3896484375,0
2009-06-29,8529.3798828125,8529.3798828125,8529.3798828125,8529.3798828125,8529.3798828125,0
2009-06-30,8447.0,8447.0,8447.0,8447.0,8447.0,0
2009-07-01,8504.0595703125,8504.0595703125,8504.0595703125,8504.0595703125,8504.0595703125,0
2009-07-02,8280.740234375,8280.740234375,8280.740234375,8280.740234375,8280.740234375,0
2009-07-06,8324.8701171875,8324.8701171875,8324.8701171875,8324.8701171875,8324.8701171875,0
2009-07-07,8163.60009765625,8163.60009765625,8163.60009765625,8163.60009765625,8163.60009765625,0
2009-07-08,8178.41015625,8178.41015625,8178.41015625,8178.41015625,8178.41015625,0
2009-07-09,8183.169921875,8183.169921875,8183.169921875,8183.169921875,8183.169921875,0
2009-07-10,8146.52001953125,8146.52001953125,8146.52001953125,8146.52001953125,8146.52001953125,0
2009-07-13,8331.6796875,8331.6796875,8331.6796875,8331.6796875,8331.6796875,0
2009-07-14,8359.490234375,8359.490234375,8359.490234375,8359.490234375,8359.490234375,0
2009-07-15,8616.2099609375,8616.2099609375,8616.2099609375,8616.2099609375,8616.2099609375,0
2009-07-16,8711.8203125,8711.8203125,8711.8203125,8711.8203125,8711.8203125,0
2009-07-17,8743.9404296875,8743.9404296875,8743.9404296875,8743.9404296875,8743.9404296875,0
2009-07-20,8848.150390625,8848.150390625,8848.150390625,8848.150390625,8848.150390625,0
2009-07-21,8915.9404296875,8915.9404296875,8915.9404296875,8915.9404296875,8915.9404296875,0
2009-07-22,8881.259765625,8881.259765625,8881.259765625,8881.259765625,8881.259765625,0
2009-07-23,9069.2900390625,9069.2900390625,9069.2900390625,9069.2900390625,9069.2900390625,0
2009-07-24,9093.240234375,9093.240234375,9093.240234375,9093.240234375,9093.240234375,0
2009-07-27,9108.509765625,9108.509765625,9108.509765625,9108.509765625,9108.509765625,0
2009-07-28,9096.7197265625,9096.7197265625,9096.7197265625,9096.7197265625,9096.7197265625,0
2009-07-29,9070.7197265625,9070.7197265625,9070.7197265625,9070.7197265625,9070.7197265625,0
